obs_id,object,obj_type,ra_2000,dec_2000,transition,freq,telescope,instrument,obs_res,distance,luminosity,tbol,menv,vlsr,flux,flux_err,unit,ref,extra
1,"NGC 7129 FIRS 2","IM YSO","21 43 1.7","+66 03 23.6","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1250,430,NULL,NULL,-9.8,8.4,2.688,"K km s-1","1,2","Sum of narrow (2.3) and broad (6.1) components, uncertainty of 32%, WISH"
2,IRAS05358+3543,"HM YSO, mIR-q HMPO","05 39 13.1","+35 45 50.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1800,6300,NULL,142,-17.6,-1.39,0.139,"K km s-1","van der Tak et al. 2013,","Negative flux denote integrated optical depth of absorption feature, line flux has uncertainties of ~10%, WISH, PN"
3,IRAS16272-4837,"HM YSO, mIR-q HMPO","16 30 58.7","-48 43 55.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,3400,24000,NULL,2170,-46.2,6.83,0.683,"K km s-1","van der Tak et al. 2013,","Positive flux denote integrated intensity of emission features, line flux has uncertainties of ~10%, WISH, PN"
4,NGC6334-I(N),"HM YSO, HMC","17 20 55.2","-35 45 04.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1700,1900,NULL,2237,-4.5,-11.8,1.18,"K km s-1","van der Tak et al. 2013,","Negative flux denote integrated optical depth of absorption feature, line flux has uncertainties of ~10%, WISH, PN"
5,W43-MM1,"HM YSO, mIR-q HMPO","18 47 47.0","-01 54 28.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,5500,23000,NULL,5992,98.8,-2.17,0.217,"K km s-1","van der Tak et al. 2013, Marseille et al. 2010","Negative flux denote integrated optical depth of absorption feature, line flux has uncertainties of ~10%, WISH, PN"
6,DR21(OH),"HM YSO, mIR-q HMPO","20 39 00.8","+42 22 48.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1500,13000,NULL,472,-4.5,-0.69,0.069,"K km s-1","van der Tak et al. 2013,","Negative flux denote integrated optical depth of absorption feature, line flux has uncertainties of ~10%, WISH, PN"
7,W3-IRS5,"HM YSO, mIR-b HMPO","02 25 40.6","62 05 51.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,2000,170000,NULL,424,-38.4,21.9,2.19,"K km s-1","van der Tak et al. 2013, Chavarria et al. 2010,","Positive flux denote integrated intensity of emission features, line flux has uncertainties of ~10%, WISH, PN"
8,IRAS18089-1732,"HM YSO, mIR-b HMPO","18 11 51.5","17 31 29.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,2300,13000,NULL,172,33.8,0.9,0.09,"K km s-1","van der Tak et al. 2013,","Positive flux denote integrated intensity of emission features, line flux has uncertainties of ~10%, WISH, PN"
9,"W33A - component 1","HM YSO, mIR-b HMPO","18 14 39.5","17 52 00.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,2400,44000,NULL,700,37.5,0.6,0.06,"K km s-1","van der Tak et al. 2013, Marseille et al. 2010","Upper limit denoting non-detection, line flux has uncertainties of ~10%,WISH, PN"
10,"W33A - component 2","HM YSO, mIR-b HMPO","18 14 39.5","17 52 00.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,2400,44000,NULL,700,37.5,9.46,0.946,"K km s-1","van der Tak et al. 2013, Marseille et al. 2010","Positive flux denote integrated intensity of emission features, line flux has uncertainties of ~10%, WISH, PN"
